
==============================
REPLAN_ID,1
==============================
t,x,y,z,vx,vy,vz,ax,ay,az
1.24,-1.17767,-4.26455,0.0429233,0.386992,0.392139,0.0678668,0.0258689,-0.0122853,0.0255582
1.25,-1.1738,-4.26063,0.0436033,0.38725,0.392019,0.0681228,0.0256205,-0.0117606,0.0256412
1.26,-1.16993,-4.25671,0.0442858,0.387505,0.391904,0.0683797,0.0253721,-0.011236,0.0257243
1.27,-1.16605,-4.25279,0.0449709,0.387757,0.391794,0.0686373,0.0251237,-0.0107114,0.0258074
1.28,-1.16217,-4.24887,0.0456586,0.388007,0.39169,0.0688958,0.0248753,-0.0101868,0.0258905
1.29,-1.15829,-4.24495,0.0463488,0.388255,0.39159,0.0691551,0.0246269,-0.00966217,0.0259736
1.3,-1.15441,-4.24104,0.0470417,0.3885,0.391496,0.0694153,0.0243785,-0.00913755,0.0260567
1.31,-1.15052,-4.23712,0.0477371,0.388742,0.391408,0.0696763,0.0241301,-0.00861294,0.0261398
1.32,-1.14663,-4.23321,0.0484352,0.388982,0.391324,0.0699381,0.0238817,-0.00808832,0.0262229
1.33,-1.14274,-4.2293,0.0491359,0.38922,0.391246,0.0702007,0.0236333,-0.0075637,0.026306
1.34,-1.13885,-4.22539,0.0498392,0.389455,0.391173,0.0704642,0.0233849,-0.00703908,0.026389
1.35,-1.13495,-4.22147,0.0505452,0.389688,0.391105,0.0707285,0.0231365,-0.00651447,0.0264721
1.36,-1.13106,-4.21756,0.0512538,0.389918,0.391043,0.0709936,0.0228881,-0.00598985,0.0265552
1.37,-1.12716,-4.21365,0.051965,0.390145,0.390985,0.0712596,0.0226397,-0.00546523,0.0266383
1.38,-1.12325,-4.20974,0.052679,0.390371,0.390933,0.0715264,0.0223913,-0.00494062,0.0267214
1.39,-1.11935,-4.20583,0.0533956,0.390593,0.390887,0.071794,0.0221429,-0.004416,0.0268045
1.4,-1.11544,-4.20193,0.0541149,0.390813,0.390845,0.0720625,0.0218945,-0.00389138,0.0268876
1.41,-1.11153,-4.19802,0.0548368,0.391031,0.390809,0.0723318,0.0216461,-0.00336677,0.0269707
1.42,-1.10762,-4.19411,0.0555615,0.391246,0.390778,0.0726019,0.0213977,-0.00284215,0.0270538
1.43,-1.10705,-4.19354,0.0556668,0.391277,0.390774,0.0726411,0.0213616,-0.00276607,0.0270658
1.44,-1.10314,-4.18964,0.0563946,0.391492,0.390743,0.072909,0.0216193,-0.00340515,0.0265071
1.45,-1.09922,-4.18573,0.057125,0.39171,0.390705,0.0731713,0.0218769,-0.00404422,0.0259483
1.46,-1.09531,-4.18182,0.057858,0.39193,0.390662,0.073428,0.0221345,-0.0046833,0.0253896
1.47,-1.09138,-4.17792,0.0585935,0.392152,0.390612,0.0736791,0.0223922,-0.00532237,0.0248308
1.48,-1.08746,-4.17401,0.0593315,0.392378,0.390555,0.0739246,0.0226498,-0.00596145,0.024272
1.49,-1.08354,-4.1701,0.060072,0.392605,0.390493,0.0741645,0.0229074,-0.00660052,0.0237133
1.5,-1.07961,-4.1662,0.0608148,0.392836,0.390423,0.0743989,0.023165,-0.00723959,0.0231545
1.51,-1.07568,-4.1623,0.0615599,0.393069,0.390348,0.0746276,0.0234227,-0.00787867,0.0225958
1.52,-1.07175,-4.15839,0.0623073,0.393304,0.390266,0.0748508,0.0236803,-0.00851774,0.022037
1.53,-1.06781,-4.15449,0.0630569,0.393542,0.390177,0.0750683,0.0239379,-0.00915682,0.0214783
1.54,-1.06388,-4.15059,0.0638087,0.393783,0.390083,0.0752803,0.0241955,-0.00979589,0.0209195
1.55,-1.05994,-4.14669,0.0645625,0.394026,0.389982,0.0754867,0.0244532,-0.010435,0.0203608
1.56,-1.056,-4.14279,0.0653184,0.394272,0.389874,0.0756876,0.0247108,-0.011074,0.019802
1.57,-1.05205,-4.13889,0.0660762,0.39452,0.38976,0.0758828,0.0249684,-0.0117131,0.0192433
1.58,-1.04811,-4.13499,0.066836,0.394771,0.38964,0.0760724,0.0252261,-0.0123522,0.0186845
1.59,-1.04416,-4.1311,0.0675977,0.395025,0.389513,0.0762565,0.0254837,-0.0129913,0.0181258
1.6,-1.04021,-4.1272,0.0683611,0.395281,0.38938,0.0764349,0.0257413,-0.0136303,0.017567
1.61,-1.03625,-4.12331,0.0691264,0.39554,0.38924,0.0766078,0.0259989,-0.0142694,0.0170082
1.62,-1.0323,-4.11942,0.0698933,0.395801,0.389095,0.0767751,0.0262566,-0.0149085,0.0164495
1.63,-1.02834,-4.11553,0.0706618,0.396065,0.388942,0.0769368,0.0265142,-0.0155476,0.0158907
1.64,-1.02437,-4.11164,0.071432,0.396331,0.388784,0.0770929,0.0267718,-0.0161866,0.015332
1.65,-1.02041,-4.10775,0.0722037,0.3966,0.388618,0.0772434,0.0270294,-0.0168257,0.0147732
1.66,-1.01644,-4.10387,0.0729768,0.396872,0.388447,0.0773884,0.0272871,-0.0174648,0.0142145
1.67,-1.01247,-4.09998,0.0737514,0.397146,0.388269,0.0775277,0.0275447,-0.0181039,0.0136557
1.68,-1.0085,-4.0961,0.0745274,0.397423,0.388085,0.0776615,0.0278023,-0.0187429,0.013097
1.69,-1.00452,-4.09222,0.0753046,0.397702,0.387894,0.0777897,0.02806,-0.019382,0.0125382
1.7,-1.00055,-4.08835,0.0760832,0.397984,0.387697,0.0779123,0.0283176,-0.0200211,0.0119795
1.71,-0.996564,-4.08447,0.0768629,0.398269,0.387494,0.0780293,0.0285752,-0.0206601,0.0114207
1.72,-0.99258,-4.0806,0.0776437,0.398556,0.387284,0.0781407,0.0288328,-0.0212992,0.0108619
1.73,-0.988593,-4.07672,0.0784257,0.398845,0.387068,0.0782465,0.0290905,-0.0219383,0.0103032
1.74,-0.984603,-4.07285,0.0792086,0.399137,0.386845,0.0783467,0.0293481,-0.0225774,0.00974444
1.75,-0.98061,-4.06899,0.0799926,0.399432,0.386616,0.0784414,0.0296057,-0.0232164,0.00918569
1.76,-0.976614,-4.06512,0.0807774,0.399729,0.386381,0.0785304,0.0298634,-0.0238555,0.00862693
1.77,-0.972616,-4.06126,0.0815632,0.400029,0.386139,0.0786139,0.030121,-0.0244946,0.00806818
1.78,-0.968614,-4.0574,0.0823497,0.400332,0.385891,0.0786918,0.0303786,-0.0251337,0.00750943
1.79,-0.964609,-4.05354,0.083137,0.400637,0.385637,0.0787641,0.0306362,-0.0257727,0.00695067
1.8,-0.960601,-4.04969,0.083925,0.400945,0.385376,0.0788308,0.0308939,-0.0264118,0.00639192
1.81,-0.95659,-4.04583,0.0847136,0.401255,0.385108,0.0788919,0.0311515,-0.0270509,0.00583316
1.82,-0.952576,-4.04198,0.0855028,0.401568,0.384835,0.0789475,0.0314091,-0.02769,0.00527441
1.83,-0.948559,-4.03814,0.0862925,0.401883,0.384555,0.0789974,0.0316667,-0.028329,0.00471566
